seqlen_q,batch_size,seqlen_k,split_kv,standard_ms,localized_ms,speedup,owner_work_counts,owner_tile_counts,resident_partition_clusters,correctness
1,2,512,32,0.016448000445961952,0.018464000895619392,0.8908145390019051,"[32, 32]","[32, 32]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
1,4,512,18,0.017487999983131886,0.018464000895619392,0.9471403344267025,"[36, 36]","[36, 36]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
1,8,512,9,0.018464000895619392,0.020479999482631683,0.9015625665068018,"[36, 36]","[36, 36]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
1,16,512,4,0.02051199972629547,0.02252800017595291,0.9105113443753706,"[32, 32]","[32, 32]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
1,32,512,2,0.026528000831604004,0.026655999943614006,0.9951981125344852,"[32, 32]","[32, 32]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
1,64,512,1,0.024608000181615353,0.024383999407291412,1.0091863836847437,"[32, 32]","[32, 32]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
1,2,1024,32,0.01825599931180477,0.018464000895619392,0.9887347501231994,"[32, 32]","[32, 32]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
1,4,1024,18,0.018464000895619392,0.02051199972629547,0.9001560619147905,"[36, 36]","[36, 36]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
1,8,1024,9,0.02051199972629547,0.020576000213623047,0.9968895564413339,"[36, 36]","[36, 36]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
1,16,1024,4,0.023584000766277313,0.024607999250292778,0.9583875765924659,"[32, 32]","[32, 32]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
1,32,1024,2,0.030719999223947525,0.0306560005992651,1.002087637768508,"[32, 32]","[32, 32]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
1,64,1024,1,0.03471999987959862,0.032575998455286026,1.0658153710086724,"[32, 32]","[32, 32]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
1,2,2048,32,0.018464000895619392,0.02051199972629547,0.9001560619147905,"[32, 32]","[32, 32]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
1,4,2048,18,0.02054399996995926,0.0225600004196167,0.910638279602847,"[36, 36]","[36, 36]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
1,8,2048,9,0.0225600004196167,0.024607999250292778,0.9167750774922625,"[36, 36]","[36, 36]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
1,16,2048,4,0.028672000393271446,0.02672000043094158,1.0730538896275414,"[32, 32]","[32, 32]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
1,32,2048,2,0.04092799872159958,0.03891199827194214,1.0518092243828838,"[32, 32]","[32, 32]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
1,64,2048,1,0.05124799907207489,0.04899200052022934,1.0460483043739768,"[32, 32]","[32, 32]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
1,2,4096,32,0.0225600004196167,0.0225600004196167,1.0,"[32, 32]","[32, 32]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
1,4,4096,18,0.02348800003528595,0.024607999250292778,0.9544863764170708,"[36, 36]","[36, 36]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
1,8,4096,9,0.02759999968111515,0.02672000043094158,1.0329341031429975,"[36, 36]","[36, 36]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
1,16,4096,4,0.036959998309612274,0.03683200106024742,1.003475164142059,"[32, 32]","[32, 32]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
1,32,4096,2,0.05734400078654289,0.055296000093221664,1.0370370495129588,"[32, 32]","[32, 32]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
1,64,4096,1,0.07995199784636497,0.07766400277614594,1.0294601744493368,"[32, 32]","[32, 32]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
1,2,8192,32,0.024607999250292778,0.024607999250292778,1.0,"[32, 32]","[32, 32]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
1,4,8192,18,0.028672000393271446,0.02864000014960766,1.0011173269377314,"[36, 36]","[36, 36]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
1,8,8192,9,0.036896001547575,0.03488000109791756,1.057798176209857,"[36, 36]","[36, 36]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
1,16,8192,4,0.055296000093221664,0.05321599915623665,1.0390860074031185,"[32, 32]","[32, 32]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
1,32,8192,2,0.08712000027298927,0.08396799862384796,1.0375381300114268,"[32, 32]","[32, 32]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
