workload,sq,group,mode,trial,replay_passes,lts__t_requests_srcunit_ltcfabric.sum,l2_hit_rate_usable,l2_counter_sum_relative_error,raw_csv,gpu__time_duration.avg,dram__bytes_read.sum,dram__bytes_write.sum,dram__bytes_read.sum.per_second,dram__bytes_write.sum.per_second,dram__throughput.avg.pct_of_peak_sustained_elapsed,lts__t_sector_hit_rate.pct,lts__t_sectors.sum,lts__t_sectors_lookup_hit.sum,lts__t_sectors_lookup_miss.sum
decode,1,ltc,baseline,1,1,19031056.0,,,decode_sq1/ltc/baseline_01.csv,,,,,,,,,,
decode,1,ltc,compact,1,1,255639.0,,,decode_sq1/ltc/compact_01.csv,,,,,,,,,,
decode,1,ltc,compact,2,1,255981.0,,,decode_sq1/ltc/compact_02.csv,,,,,,,,,,
decode,1,ltc,baseline,2,1,19043519.0,,,decode_sq1/ltc/baseline_02.csv,,,,,,,,,,
decode,1,ltc,baseline,3,1,19035409.0,,,decode_sq1/ltc/baseline_03.csv,,,,,,,,,,
decode,1,ltc,compact,3,1,256443.0,,,decode_sq1/ltc/compact_03.csv,,,,,,,,,,
decode,1,memory,baseline,1,4,,True,-0.002498801196478495,decode_sq1/memory/baseline_01.csv,1025568.0,2426264064.0,15324416.0,2365775905644.48,14942369496.71,49.47,1.1,115352514.0,1272530.0,113791741.0
decode,1,memory,compact,1,4,,True,-0.0016038087213747776,decode_sq1/memory/compact_01.csv,987136.0,2434907136.0,9481216.0,2466637966804.98,9604771784.23,51.46,1.12,77388281.0,869663.0,76394502.0
decode,1,memory,compact,2,4,,True,-0.0018741959728474367,decode_sq1/memory/compact_02.csv,986336.0,2434889984.0,9773056.0,2468621224410.34,9908444992.38,51.51,1.12,77403325.0,865080.0,76393176.0
decode,1,memory,baseline,2,4,,True,-0.0019636541250982464,decode_sq1/memory/baseline_02.csv,1023552.0,2426261248.0,15225344.0,2370432814356.28,14875007815.92,49.57,1.14,115330392.0,1311865.0,113792058.0
decode,1,memory,baseline,3,4,,True,-0.0015705829040946195,decode_sq1/memory/baseline_03.csv,1024256.0,2426302976.0,15426304.0,2368844288927.77,15060984753.81,49.54,1.19,115347620.0,1375185.0,113791272.0
decode,1,memory,compact,3,4,,True,-0.0013742004030693478,decode_sq1/memory/compact_03.csv,985824.0,2434977280.0,9708800.0,2469991884961.21,9848411075.4,51.54,1.18,77414473.0,914893.0,76393197.0
decode,4,ltc,baseline,1,1,36292519.0,,,decode_sq4/ltc/baseline_01.csv,,,,,,,,,,
decode,4,ltc,compact,1,1,551569.0,,,decode_sq4/ltc/compact_01.csv,,,,,,,,,,
decode,4,ltc,compact,2,1,551660.0,,,decode_sq4/ltc/compact_02.csv,,,,,,,,,,
decode,4,ltc,baseline,2,1,36241351.0,,,decode_sq4/ltc/baseline_02.csv,,,,,,,,,,
decode,4,ltc,baseline,3,1,36337062.0,,,decode_sq4/ltc/baseline_03.csv,,,,,,,,,,
decode,4,ltc,compact,3,1,551525.0,,,decode_sq4/ltc/compact_03.csv,,,,,,,,,,
decode,4,memory,baseline,1,4,,True,-0.021738792965325104,decode_sq4/memory/baseline_01.csv,3582560.0,2615138560.0,28708608.0,729963646107.81,8013433969.01,15.34,64.58,461813129.0,298218490.0,153555379.0
decode,4,memory,compact,1,4,,False,0.05328287537385501,decode_sq4/memory/compact_01.csv,3730592.0,2680562944.0,28631552.0,718535541812.13,7674801211.18,15.09,77.47,302862822.0,234629481.0,84370743.0
decode,4,memory,compact,2,4,,True,0.021906506925224223,decode_sq4/memory/compact_02.csv,3734528.0,2680937984.0,28813056.0,717878667397.86,7715313956.68,15.08,74.77,307649824.0,230015866.0,84373491.0
decode,4,memory,baseline,2,4,,True,-0.005346604135940014,decode_sq4/memory/baseline_02.csv,3577760.0,2607227392.0,28743936.0,728731774070.93,8034059299.67,15.31,65.56,453913164.0,297572645.0,153913625.0
decode,4,memory,baseline,3,4,,True,0.0009779354771417559,decode_sq4/memory/baseline_03.csv,3574272.0,2605581824.0,28759296.0,728982523993.7,8046196819.94,15.32,65.81,451843716.0,297378075.0,154907515.0
decode,4,memory,compact,3,4,,True,-0.03577713064488652,decode_sq4/memory/compact_03.csv,3732096.0,2680563712.0,28609024.0,718246184449.7,7665672051.31,15.09,70.74,328535989.0,232412952.0,84368962.0
prefill,128,ltc,baseline,1,1,195530361.0,,,prefill_sq128/ltc/baseline_01.csv,,,,,,,,,,
