sq,mode,trial,passes,rate,total,hit,miss,delta,usable
4,baseline,1,4,64.05,453227998.0,290276840.0,153754645.0,-0.02029114053099601,True
4,compact,1,4,78.73,320510513.0,252346544.0,84368646.0,0.050558956236171904,False
4,compact,2,4,77.58,326071003.0,252965044.0,84366577.0,0.034534251424988005,True
4,baseline,2,4,65.57,452842215.0,296912862.0,154287837.0,-0.003624918228968599,True
4,baseline,3,4,65.9,450884938.0,297148663.0,152896123.0,-0.0018633401322445398,True
4,compact,3,4,71.77,321665039.0,230850620.0,84369102.0,-0.020037356313379107,True
128,baseline,1,4,103.08,12857511413.0,13253134047.0,495502602.0,0.06930775383944043,False
128,compact,1,4,92.67,11711227581.0,10852282431.0,424952890.0,-0.03705779406969245,True
128,compact,2,4,85.4,11920612879.0,10179821786.0,436958480.0,-0.10937630692603917,False
128,baseline,2,4,103.19,12098121866.0,12483967747.0,495243371.0,0.07282859784014684,False
128,baseline,3,4,105.92,12672405631.0,13422169224.0,495391435.0,0.09825719474714623,False
128,compact,3,4,93.93,11822179046.0,11105159975.0,424955266.0,-0.024704735384532883,True
