sq,batch,sk,kv_bytes,compact_physical_span,baseline_ms,schedule_only_ms,compact_ms,compact_vs_baseline,schedule_vs_baseline,compact_vs_schedule
1,2,512,1179648,1179648,0.01017600018531084,0.010495999827980995,0.011103999800980091,0.9164265460823098,0.9695122286666701,0.9452449582225829
1,2,1024,2359296,2359296,0.012160000391304493,0.012480000033974648,0.012927999719977379,0.9405941100473485,0.9743590030609767,0.9653465581910211
1,2,2048,4718592,4718592,0.014303999952971935,0.014960000291466713,0.01521599991247058,0.9400630937996263,0.9561497108480028,0.9831756294376647
1,2,4096,9437184,9437184,0.016416000202298164,0.016896000131964684,0.01724799908697605,0.9517625853014957,0.9715909134755254,0.9795918962404653
1,2,8192,18874368,18874368,0.01820800080895424,0.018751999363303185,0.01865600049495697,0.975986295341071,0.9709898372003187,1.0051457368031356
1,2,16384,37748736,37748736,0.026048000901937485,0.026575999334454536,0.026335999369621277,0.9890644564634976,0.9801325088147287,1.009113000097885
1,2,32768,75497472,75497472,0.04102399945259094,0.04171200096607208,0.04249599948525429,0.9653614445949409,0.9835059096292036,0.9815512394418622
1,2,65536,150994944,150994944,0.07017599791288376,0.07072000205516815,0.0735040009021759,0.954723512347018,0.9923076339582114,0.9621245263817287
1,2,131072,301989888,301989888,0.1369119957089424,0.13708800077438354,0.14081600308418274,0.9722758259733701,0.9987161161848819,0.9735257198887365
1,2,262144,603979776,603979776,0.27585600316524506,0.2756880074739456,0.2810879945755005,0.9813866422215691,1.0006093688762117,0.9807889799430604
1,2,524288,1207959552,1207959552,0.55799999833107,0.5571680068969727,0.5607199966907501,0.9951490969187241,1.0014932505524337,0.9936653056521249
1,2,932032,2147401728,2147401728,0.9936160147190094,0.996431976556778,1.0030879974365234,0.9905571766966402,0.997173954766587,0.9933644696210546
1,4,512,2359296,2359296,0.012223999947309494,0.01283199992030859,0.013151999562978745,0.9294404161720432,0.9526184556752652,0.9756691261174526
1,4,1024,4718592,4718592,0.014399999752640724,0.015104000456631184,0.015584000386297703,0.9240246018796293,0.9533897853080785,0.9691991839214429
1,4,2048,9437184,9437184,0.016575999557971954,0.016896000131964684,0.01740800030529499,0.9522058402612753,0.9810605722364232,0.9705882258529963
1,4,4096,18874368,18874368,0.01836800016462803,0.018688000738620758,0.018719999119639397,0.9811966361343425,0.9828766822910375,0.99829068469426
1,4,8192,37748736,37748736,0.02598400041460991,0.026847999542951584,0.026399999856948853,0.9842424452805651,0.9678188638613673,1.016969685167813
1,4,16384,75497472,75497472,0.04110400006175041,0.04195199906826019,0.04255999997258186,0.965789475757297,0.9797864458108421,0.985714264456923
1,4,32768,150994944,150994944,0.07073600217700005,0.07119999825954437,0.07345600053668022,0.9629710528778116,0.99348320092856,0.969287706100888
1,4,65536,301989888,301989888,0.13715199381113052,0.13734400272369385,0.1406560018658638,0.9750881014087486,0.9986019854616469,0.9764531971744197
1,4,131072,603979776,603979776,0.2762559950351715,0.2767520099878311,0.28203199803829193,0.9795200436712993,0.9982077277318369,0.9812787623844584
1,4,262144,1207959552,1207959552,0.6286399960517883,0.6304479837417603,0.6468319892883301,0.9718752418900041,0.9971322175078722,0.9746703845544248
1,4,524288,2415919104,2415919104,1.333072006702423,1.3369999825954437,1.3766160011291504,0.9683688157111272,0.9970620972743803,0.9712221719773617
1,4,932032,4294803456,4294803456,2.436959981918335,2.4407999515533447,2.510032057762146,0.9708879910048004,0.9984267577387627,0.9724178398460273
1,8,512,4718592,4718592,0.0144640002399683,0.014783999882638454,0.015135999768972397,0.9556025674378218,0.9783550023531896,0.9767441932011974
1,8,1024,9437184,9437184,0.016656000167131424,0.017103999853134155,0.01735999993979931,0.959447017562834,0.9738073146720333,0.985253451177828
1,8,2048,18874368,18874368,0.01833599992096424,0.019023999571800232,0.018991999328136444,0.9654591706835022,0.9638351731327922,1.00168493285572
1,8,4096,37748736,37748736,0.026208000257611275,0.02672000043094158,0.026464000344276428,0.9903264781085706,0.9808383171754214,1.0096735218914294
1,8,8192,75497472,75497472,0.041280001401901245,0.042160000652074814,0.04291199892759323,0.9619687367991012,0.979127152832948,0.9824758041034796
1,8,16384,150994944,150994944,0.07046400010585785,0.07115199789404869,0.07342400029301643,0.9596862037570008,0.9903305907275389,0.9690564067620837
1,8,32768,301989888,301989888,0.13758400082588196,0.13791999965906143,0.14192000031471252,0.9694475797687758,0.9975638135585118,0.9718151025452301
1,8,65536,603979776,603979776,0.27665600180625916,0.2765119969844818,0.28172799944877625,0.9819968279601571,1.0005207905022127,0.9814856795401949
1,8,131072,1207959552,1207959552,0.5924960076808929,0.5935759991407394,0.6069279909133911,0.9762212594433503,0.9981805338130081,0.9780006986453901
1,8,262144,2415919104,2415919104,1.2238239645957947,1.2196479737758636,1.2490559816360474,0.9797991303742822,1.0034239312569861,0.976455812795785
1,8,524288,4831838208,4831838208,2.4720319509506226,2.4701199531555176,2.5329360365867615,0.9759551426658962,1.0007740505851397,0.9752002883120999
1,8,932032,8589606912,8589606912,4.41429591178894,4.397432088851929,4.533680081367493,0.973667270862539,1.0038349251554706,0.9699475944331591
1,16,512,9437184,9437184,0.016831999644637108,0.017503999173641205,0.01772800087928772,0.9494584166172146,0.9616088002325752,0.9873645253533225
1,16,1024,18874368,18874368,0.018719999119639397,0.019247999414801598,0.019200000911951065,0.9749999078378746,0.9725685623849213,1.0024999219047253
1,16,2048,37748736,37748736,0.026655999943614006,0.027327999472618103,0.027055999264121056,0.9852158733225024,0.9754098528259479,1.0100532309245642
1,16,4096,75497472,75497472,0.041519999504089355,0.042208001017570496,0.043296001851558685,0.9589799918810427,0.983699737090256,0.9748706396096706
1,16,8192,150994944,150994944,0.07094400003552437,0.0713919997215271,0.07398399710655212,0.9589100725843518,0.993724791464727,0.9649654318988468
1,16,16384,301989888,301989888,0.1377120018005371,0.13819199800491333,0.1414560005068779,0.9735324150765966,0.9965265991424543,0.9769256695349176
1,16,32768,603979776,603979776,0.2768480032682419,0.27662399411201477,0.2823200076818466,0.9806177236302315,1.000809796550535,0.9798242653200449
1,16,65536,1207959552,1207959552,0.5782719850540161,0.5758479982614517,0.5858240127563477,0.987108709206373,1.0042094212359558,0.9829709703295397
1,16,131072,2415919104,2415919104,1.177344024181366,1.1828400194644928,1.1881920099258423,0.9908701744719245,0.9953535599128486,0.9954956855317656
1,16,262144,4831838208,4831838208,2.36843204498291,2.3610960245132446,2.3904719948768616,0.9907800844598111,1.0031070402870115,0.9877112258890403
1,16,524288,9663676416,9663676416,4.7290719747543335,4.741487979888916,4.777328014373779,0.9898989478063354,0.9973814116608024,0.9924978912109385
1,16,932032,17179213824,17179213824,8.492543697357178,8.524192333221436,8.510560035705566,0.9978830607771049,0.9962871982908089,1.0016018096880435
1,32,512,18874368,18874368,0.01958400011062622,0.019967999309301376,0.019967999309301376,0.9807692702344855,0.9807692702344855,1.0
1,32,1024,37748736,37748736,0.02739199995994568,0.02796800062060356,0.027952000498771667,0.9799656364899322,0.9794050111600201,1.0005724141938461
1,32,2048,75497472,75497472,0.041999999433755875,0.04283199831843376,0.04387199878692627,0.9573304293186604,0.9805752961024045,0.9762946640853203
1,32,4096,150994944,150994944,0.07116799801588058,0.07171200215816498,0.07436800003051758,0.9569707130308218,0.9924140433133556,0.9642857429100865
1,32,8192,301989888,301989888,0.13833599537611008,0.13875199854373932,0.14155200123786926,0.9772803928334797,0.9970018221575518,0.9802192645130837
1,32,16384,603979776,603979776,0.2773279994726181,0.2767919972538948,0.2826559990644455,0.9811502334659007,1.001936480187437,0.9792539276365626
1,32,32768,1207959552,1207959552,0.5800000131130219,0.5716319978237152,0.5751680135726929,1.0084010227034614,1.0146388153937584,0.9938522037638821
1,32,65536,2415919104,2415919104,1.178712010383606,1.1509039998054504,1.1548480093479156,1.020664192034383,1.0241618854247236,0.9965848237079334
1,32,131072,4831838208,4831838208,2.3683680295944214,2.304111957550049,2.308784008026123,1.025807533905798,1.027887565026439,0.9979764020974536
1,32,262144,9663676416,9663676416,4.731992125511169,4.63318395614624,4.636944055557251,1.0204979979950386,1.0213261917290923,0.9991890996816094
1,32,524288,19327352832,19327352832,9.565807819366455,9.260583877563477,9.29260778427124,1.0293997165744622,1.0329594705731757,0.9965538299419063
1,32,932032,34358427648,34358427648,16.887592315673828,16.541815757751465,16.512720108032227,1.0227020263886901,1.020903180339216,1.0017620143458428
1,64,512,37748736,37748736,0.02864000014960766,0.029263999313116074,0.029503999277949333,0.9707158639680618,0.9786769006918087,0.9918655107542445
1,64,1024,75497472,75497472,0.04339199885725975,0.04382399842143059,0.04531199857592583,0.9576271235211821,0.99014239732266,0.9671610125074949
1,64,2048,150994944,150994944,0.07241600006818771,0.07295999675989151,0.07585599645972252,0.9546509629813993,0.9925439046619743,0.9618224025127835
1,64,4096,301989888,301989888,0.1395680010318756,0.14022399485111237,0.1432799994945526,0.9740926962885833,0.9953218147868824,0.9786711009616075
1,64,8192,603979776,603979776,0.27857600152492523,0.2788719981908798,0.28435200452804565,0.9796871380853911,0.9989385930897515,0.9807280896568277
