workload,seqlen_q,batch_size,seqlen_k,standard_ltc_requests,standard_l2_hit_rate_pct,standard_l2_hit_rate_usable,standard_l2_counter_sum_relative_error,standard_l2_quality_warnings,standard_hbm_bytes,standard_hbm_gb_s,standard_hbm_utilization_pct,standard_ncu_duration_ns,standard_replay_passes,localized_ltc_requests,localized_l2_hit_rate_pct,localized_l2_hit_rate_usable,localized_l2_counter_sum_relative_error,localized_l2_quality_warnings,localized_hbm_bytes,localized_hbm_gb_s,localized_hbm_utilization_pct,localized_ncu_duration_ns,localized_replay_passes,localized_minus_standard_l2_hit_rate_pp,localized_to_standard_hbm_bandwidth_ratio,localized_minus_standard_hbm_utilization_pp,localized_to_standard_hbm_total_bytes_ratio,standard_to_localized_ncu_duration_ratio,ltc_reduction_pct
decode,1,64,512,463763.0,37.18,True,0.00015570995711655655,,47317760.0,2412.2022838499206,31.51,19616.0,4,313982.0,43.49,True,5.817887079628825e-05,,47291136.0,1936.89121887287,25.32,24416.0,4,6.310000000000002,0.8029555530399196,-6.190000000000001,0.9994373360023805,0.8034076015727392,32.29688440000604
decode,1,64,65536,37820819.0,37.11,True,-0.0016824907088723862,,4846374912.0,5186.261762892949,67.6,934464.0,4,354336.0,47.01,True,-3.760916175232776e-05,,4845671424.0,5567.17764705883,72.57,870400.0,4,9.899999999999999,1.0734470995836127,4.969999999999999,0.9998548424311421,1.0736029411764705,99.06311917782638
decode,1,64,524288,302459440.0,37.19,True,6.458679121745803e-06,,38678645248.0,4872.9566689780895,63.51,7937408.0,4,369164.0,47.05,True,-2.2113197690742936e-06,,38674285056.0,5325.9566457048895,69.42,7261472.0,4,9.86,1.0929620367056945,5.910000000000004,0.999887271336107,1.093085258746436,99.8779459487196
decode,1,64,1048576,604449140.0,37.19,True,-9.488985929417826e-05,,77344088576.0,4876.115670934189,63.55,15861824.0,4,386245.0,47.05,True,-8.488896892977493e-05,,77334123776.0,5312.46041634609,69.24,14557120.0,4,9.86,1.0894861350424658,5.689999999999998,0.9998711627458094,1.089626519531336,99.93609966919632
decode,1,2,1048576,18939188.0,37.24,True,-0.002595604250956618,,2420718336.0,5322.786940613571,69.38,454784.0,4,298580.0,47.27,True,0.00020179336438852502,,2419871488.0,5654.75091602483,73.71,427936.0,4,10.030000000000001,1.0623665720824425,4.329999999999998,0.9996501666520198,1.062738353398639,98.4234804575571
decode,1,16,1048576,151180353.0,37.19,True,-0.0005613888617026497,,19338405632.0,4949.1444061356,64.51,3907424.0,4,307467.0,47.08,True,-4.058185804767245e-05,,19338776576.0,5393.40807310957,70.3,3585632.0,4,9.89,1.089765751515192,5.789999999999992,1.0000191817260977,1.0897448483279935,99.79662238253934
decode,4,64,512,1622257.0,63.44,True,0.002144243022566439,,78934016.0,1646.65420560748,21.47,47936.0,4,1228694.0,67.74,True,-0.004270957928762531,,78184960.0,1488.8970140158501,19.42,52512.0,4,4.299999999999997,0.9041953124982726,-2.049999999999997,0.9905103523428986,0.9128580134064594,24.260212777630173
decode,4,64,65536,78768032.0,69.85,True,-0.0037510678610741532,,7163434240.0,2082.52928097644,27.14,3439776.0,4,1367973.0,84.37,True,-0.006348901406617258,,5382372864.0,1666.8729820527801,21.73,3229024.0,4,14.52000000000001,0.8004079449347429,-5.41,0.7513676657971247,1.0652680190670618,98.26328909677468
decode,4,64,524288,653269330.0,66.74,True,-0.00442889556243975,,66228284416.0,2293.90432616001,29.9,28871424.0,4,1384433.0,82.91,True,-0.009625258475599141,,48946584576.0,1886.63375212458,24.59,25943872.0,4,16.17,0.822455291883424,-5.309999999999999,0.739058621367143,1.112841753150802,99.78807622883505
decode,4,64,1048576,1488963903.0,60.37,False,0.15292241808649498,L2 hit+miss differs from total sectors by more than 5%,167616945152.0,2848.3604814235,37.13,58846816.0,4,1417055.0,77.75,True,0.010017542710418992,,131158049024.0,2457.4995590075505,32.03,53370528.0,4,,0.8627768763943066,-5.100000000000001,0.782486811849852,1.1026088405945693,99.90482945911954
decode,4,2,1048576,37449728.0,70.56,True,-0.007493204900493766,,3413404672.0,2150.27911383474,28.03,1587424.0,4,327106.0,85.82,True,-0.008404966218916954,,2420587008.0,1643.6701505834299,21.42,1472672.0,4,15.259999999999991,0.7643985099460694,-6.609999999999999,0.7091415289420451,1.077920949131918,99.12654639307394
decode,4,16,1048576,293706780.0,71.65,True,-0.00027562014846627125,,26274859520.0,1947.33370014799,25.38,13492736.0,4,361452.0,86.11,True,-0.004192555111015017,,19344911360.0,1521.12484965604,19.83,12717504.0,4,14.459999999999994,0.7811320933543338,-5.550000000000001,0.7362517521844395,1.0609578734946732,99.87693440376147
prefill,128,64,512,43459045.0,76.3,True,-0.004615256603603957,,2275307008.0,2120.27267034442,27.64,1073120.0,4,42904421.0,77.0,True,0.0006486387494670787,,2274220800.0,2060.6396242280202,26.86,1103648.0,4,0.7000000000000028,0.9718748220686574,-0.7800000000000011,0.9995226103571162,0.9723390066397982,1.2761992353950702
prefill,128,64,65536,241565362.0,98.82,True,0.04277794077519004,,15268016640.0,168.56807121947,2.2,90574784.0,4,43092430.0,102.2,False,0.05542621698554839,"reported L2 hit rate lies outside [0, 100]%; L2 hit+miss differs from total sectors by more than 5%",25263346944.0,272.15400971299005,3.55,92827392.0,4,,1.6145050942574684,1.3499999999999996,1.6546580698513045,0.9757333697363813,82.16117176600841
prefill,128,64,524288,3680045875.0,77.91,True,-0.0021282250996257357,,368606700032.0,462.70436151915004,6.03,796635456.0,4,43243567.0,106.56,False,0.14831950944946315,"reported L2 hit rate lies outside [0, 100]%; L2 hit+miss differs from total sectors by more than 5%",376069859072.0,479.17315605507,6.25,784830816.0,4,,1.0355924774122502,0.21999999999999975,1.0202469435291113,1.0150409996133485,98.82491771926621
prefill,128,64,1008576,7985544338.0,76.26,True,0.014722123513289498,,830145475328.0,529.25262313859,6.9,1568524064.0,4,43508515.0,87.76,True,0.009104696504023346,,1002017159168.0,658.83425425826,8.59,1520894144.0,4,11.5,1.2448389019807233,1.6899999999999995,1.2070380300176804,1.0313170513463428,99.45515905793722
prefill,128,2,1008576,91652692.0,114.64,False,0.20301336844026663,"reported L2 hit rate lies outside [0, 100]%; L2 hit+miss differs from total sectors by more than 5%",5893025280.0,123.09419504220001,1.6,47874112.0,4,1369176.0,107.74,False,0.10715872280621741,"reported L2 hit rate lies outside [0, 100]%; L2 hit+miss differs from total sectors by more than 5%",9380271360.0,192.88980544768,2.51,48630208.0,4,,1.5670097633893472,0.9099999999999997,1.591758208103258,0.9844521331268006,98.5061257120522
prefill,128,16,1008576,1120066131.0,82.61,False,-0.11249474262765513,L2 hit+miss differs from total sectors by more than 5%,94861604352.0,252.89338719769998,3.3,375105120.0,4,10861936.0,78.86,False,-0.162819668481074,L2 hit+miss differs from total sectors by more than 5%,181148283648.0,486.36190088668,6.34,372455744.0,4,,1.9231894763087083,3.04,1.9096059452654701,1.0071132639049862,99.03024154562173
