workload,seqlen_q,batch_size,seqlen_k,standard_replay_passes,standard_lts__t_requests_srcunit_ltcfabric.sum,localized_replay_passes,localized_lts__t_requests_srcunit_ltcfabric.sum,ltc_reduction_pct
decode,1,64,512,1,459303.0,1,310600.0,32.37579549883193
decode,1,64,65536,1,37810503.0,1,354347.0,99.06283447221001
decode,1,64,524288,1,302384132.0,1,369111.0,99.8779330788429
decode,1,64,1048576,1,604424102.0,1,386209.0,99.93610297823629
decode,1,2,1048576,1,18936340.0,1,298649.0,98.42287897238855
decode,1,16,1048576,1,151210910.0,1,307511.0,99.79663438306137
decode,4,64,512,1,1622930.0,1,1229094.0,24.266973929867586
decode,4,64,65536,1,79776986.0,1,1367208.0,98.28621251747967
decode,4,64,524288,1,657272439.0,1,1384008.0,99.78943160889179
decode,4,64,1048576,1,1499014980.0,1,1415256.0,99.905587601266
decode,4,2,1048576,1,37449005.0,1,327063.0,99.12664435276717
decode,4,16,1048576,1,295964791.0,1,361331.0,99.8779141941921
prefill,128,64,512,1,43459826.0,1,42906265.0,1.2737303642218922
prefill,128,64,65536,1,241538627.0,1,43088663.0,82.16075683828409
prefill,128,64,524288,1,3681123298.0,1,43229453.0,98.82564506808323
prefill,128,64,1008576,1,11721181623.0,1,43396076.0,99.62976364162085
prefill,128,2,1008576,1,91649919.0,1,1368910.0,98.50637074758353
prefill,128,16,1008576,1,911687980.0,1,10846867.0,98.810243500194
