workload,seqlen_q,batch_size,seqlen_k,standard_replay_passes,standard_gpu__time_duration.avg,standard_dram__bytes_read.sum,standard_dram__bytes_write.sum,standard_dram__bytes_read.sum.per_second,standard_dram__bytes_write.sum.per_second,standard_dram__throughput.avg.pct_of_peak_sustained_elapsed,standard_lts__t_sector_hit_rate.pct,standard_lts__t_sectors.sum,standard_lts__t_sectors_lookup_hit.sum,standard_lts__t_sectors_lookup_miss.sum,standard_l2_hit_rate_usable,standard_l2_counter_sum_relative_error,standard_l2_warnings,localized_replay_passes,localized_gpu__time_duration.avg,localized_dram__bytes_read.sum,localized_dram__bytes_write.sum,localized_dram__bytes_read.sum.per_second,localized_dram__bytes_write.sum.per_second,localized_dram__throughput.avg.pct_of_peak_sustained_elapsed,localized_lts__t_sector_hit_rate.pct,localized_lts__t_sectors.sum,localized_lts__t_sectors_lookup_hit.sum,localized_lts__t_sectors_lookup_miss.sum,localized_l2_hit_rate_usable,localized_l2_counter_sum_relative_error,localized_l2_warnings,localized_minus_standard_l2_hit_rate_pp,localized_to_standard_hbm_bandwidth_ratio,localized_minus_standard_hbm_utilization_pp,localized_to_standard_hbm_total_bytes_ratio,standard_to_localized_ncu_duration_ratio
decode,1,64,512,4,19776.0,47268096.0,35584.0,2390174757281.55,1799352750.81,31.29,37.16,4110217.0,1527444.0,2582732.0,True,-9.975142431617456e-06,,4,23904.0,47289344.0,256.0,1978302543507.36,10709504.69,25.83,43.49,3523659.0,1532295.0,1991469.0,True,2.9798570179373485e-05,,6.330000000000005,0.8270629873102123,-5.460000000000001,0.9997023487390411,0.8273092369477911
decode,1,64,65536,4,941056.0,4842244352.0,3639040.0,5145543253536.45,3866974972.8,67.12,37.13,362855455.0,134734684.0,227721663.0,True,-0.0010999090533171385,,4,864832.0,4841703168.0,3888384.0,5598432028417.08,4496114852.36,73.03,47.01,286584076.0,134710924.0,151830711.0,True,-0.00014809266653048603,,9.879999999999995,1.0880718168945502,5.909999999999997,0.9999397756866205,1.0881373492192703
decode,1,64,524288,4,7868384.0,38672584448.0,3962880.0,4914933542643.57,503645983.72,64.07,37.18,2889662382.0,1074470745.0,1815005543.0,True,-6.439991092355157e-05,,4,7220800.0,38666640896.0,5936640.0,5354897088411.26,822158209.62,69.81,47.05,2283240434.0,1074289324.0,1209012606.0,True,2.6933650562721567e-05,,9.869999999999997,1.089571291646704,5.740000000000009,0.9998973591937684,1.0896831376024818
decode,1,64,1048576,4,15790688.0,77340202496.0,7095296.0,4897836148494.61,449334189.87,63.84,37.19,5774735769.0,2147683580.0,3626838631.0,True,-3.698143231878337e-05,,4,14490144.0,77325455360.0,6273280.0,5336417316487.68,432934275.88,69.56,47.05,4565400561.0,2148086238.0,2416992689.0,True,-7.04503352340069e-05,,9.86,1.0895343420936596,5.719999999999999,0.9997987111063419,1.0897536974097703
decode,1,2,1048576,4,455680.0,2417445376.0,3394304.0,5305138202247.19,7448876404.49,69.25,37.22,182306256.0,67862091.0,113916131.0,True,-0.0028964118488615798,,4,426592.0,2416729088.0,3727872.0,5665200210036.76,8738729277.62,73.96,47.27,143670316.0,67911768.0,75770116.0,True,8.051767631656048e-05,,10.050000000000004,1.0680180588690529,4.709999999999994,0.999841906094335,1.0681869327132247
decode,1,16,1048576,4,3900768.0,19333862912.0,5243648.0,4956424712261.79,1344260412.31,64.62,37.19,1445496454.0,537631787.0,907202068.0,True,-0.00045838853368784793,,4,3577984.0,19330991616.0,7884032.0,5402760777018.57,2203484420.28,70.45,47.08,1142225219.0,537734708.0,604450751.0,True,-3.480924719456713e-05,,9.89,1.0902009131989754,5.829999999999998,0.9999880598413746,1.0902139305262404
decode,4,64,512,4,47904.0,75586816.0,3342848.0,1577881095524.38,69782231128.92,21.49,63.48,14776348.0,9380669.0,5455649.0,True,0.0040585129695105415,,4,52992.0,75609600.0,2596864.0,1426811594202.9,49004830917.87,19.26,67.87,13512692.0,9170846.0,4314013.0,True,-0.0020597672173686687,,4.390000000000008,0.8957026603962949,-2.229999999999997,0.99083741190131,0.9039855072463768
decode,4,64,65536,4,3412256.0,6074301440.0,32691712.0,1780142357431.56,9580673900.2,23.33,73.38,1273758464.0,934700587.0,386325298.0,True,0.03710862171746876,,4,3227808.0,5344432640.0,32941056.0,1655746760649.95,10205395116.44,21.71,84.6,1126244005.0,952755803.0,169521717.0,True,-0.0035218700231838262,,11.219999999999999,0.9308435588084989,-1.6199999999999974,0.8805272189046005,1.0571434236484947
decode,4,64,524288,4,27815520.0,65753775360.0,34530048.0,2363924002139.81,1241395019.76,30.83,67.36,10096600594.0,6800582624.0,3381105813.0,True,0.008427375353499134,,4,25923904.0,49239866112.0,35294720.0,1899400110106.87,1361473950.84,24.77,83.12,8997697613.0,7478895420.0,1483761457.0,True,-0.003894411382459939,,15.760000000000005,0.8036484832479022,-6.059999999999999,0.7489957451618451,1.072968022100375
decode,4,64,1048576,4,61098112.0,163651442432.0,38534912.0,2678502445902.09,630705446.35,34.92,60.0,20862447476.0,12516502193.0,8628510810.0,True,0.013544217538477232,,4,55263040.0,140300024576.0,37819136.0,2538767765508.38,684347730.42,33.1,75.47,17847783605.0,13470159050.0,3647580669.0,True,-0.04090389608911893,,15.469999999999999,0.947863346008265,-1.8200000000000003,0.8573392579624792,1.105587242395641
