batch_size,seqlen_q,seqlen_k,standard_ms,localized_ms,speedup,kv_gib_per_layout,owner_batch_counts,owner_tile_counts,owner_wave_counts,localized_theoretical_active_cluster_fraction
2,2,512,0.01849599927663803,0.01828799955546856,1.0113735633325338,0.0010986328125,"[1, 1]","[2, 2]","[1, 1]",0.05405405405405406
4,2,512,0.018432000651955605,0.018303999677300453,1.0069930603645,0.002197265625,"[2, 2]","[4, 4]","[1, 1]",0.10810810810810811
8,2,512,0.01849599927663803,0.018271999433636665,1.0122591861834784,0.00439453125,"[4, 4]","[8, 8]","[1, 1]",0.21621621621621623
16,2,512,0.019456000067293644,0.020320000126957893,0.9574803122900571,0.0087890625,"[8, 8]","[16, 16]","[1, 1]",0.43243243243243246
32,2,512,0.0225600004196167,0.02239999920129776,1.0071429117867856,0.017578125,"[16, 16]","[32, 32]","[1, 1]",0.8648648648648649
64,2,512,0.03283200040459633,0.032607998698949814,1.006869532463939,0.03515625,"[32, 32]","[64, 64]","[2, 2]",1.0
2,2,4096,0.05532800033688545,0.05127999931573868,1.0789391785327964,0.0087890625,"[1, 1]","[2, 2]","[1, 1]",0.05405405405405406
4,2,4096,0.05737600103020668,0.05310399830341339,1.080445971363303,0.017578125,"[2, 2]","[4, 4]","[1, 1]",0.10810810810810811
8,2,4096,0.05942400172352791,0.055135998874902725,1.0777713823296131,0.03515625,"[4, 4]","[8, 8]","[1, 1]",0.21621621621621623
16,2,4096,0.0655359998345375,0.05926400050520897,1.1058315212584622,0.0703125,"[8, 8]","[16, 16]","[1, 1]",0.43243243243243246
32,2,4096,0.07580800354480743,0.0695360004901886,1.0901979264036592,0.140625,"[16, 16]","[32, 32]","[1, 1]",0.8648648648648649
64,2,4096,0.14137599617242813,0.13094400614500046,1.079667564286034,0.28125,"[32, 32]","[64, 64]","[2, 2]",1.0
2,2,32768,0.36451199650764465,0.3296799957752228,1.1056539710591675,0.0703125,"[1, 1]","[2, 2]","[1, 1]",0.05405405405405406
4,2,32768,0.36665600538253784,0.33368000388145447,1.09882522511837,0.140625,"[2, 2]","[4, 4]","[1, 1]",0.10810810810810811
8,2,32768,0.3646079897880554,0.33372798562049866,1.092530460429148,0.28125,"[4, 4]","[8, 8]","[1, 1]",0.21621621621621623
16,2,32768,0.3757759928703308,0.34092800319194794,1.102215099235374,0.5625,"[8, 8]","[16, 16]","[1, 1]",0.43243243243243246
32,2,32768,0.5053440034389496,0.47252799570560455,1.0694477534274818,1.125,"[16, 16]","[32, 32]","[1, 1]",0.8648648648648649
64,2,32768,1.0204480290412903,0.9437199980020523,1.0813038096063226,2.25,"[32, 32]","[64, 64]","[2, 2]",1.0
2,2,131072,1.411087989807129,1.2634559869766235,1.1168477607073437,0.28125,"[1, 1]","[2, 2]","[1, 1]",0.05405405405405406
4,2,131072,1.383504033088684,1.2572800517082214,1.1003944834796087,0.5625,"[2, 2]","[4, 4]","[1, 1]",0.10810810810810811
8,2,131072,1.3885759711265564,1.2615039944648743,1.1007305384836181,1.125,"[4, 4]","[8, 8]","[1, 1]",0.21621621621621623
16,2,131072,1.480176031589508,1.3438159823417664,1.1014722633452516,2.25,"[8, 8]","[16, 16]","[1, 1]",0.43243243243243246
32,2,131072,2.038831949234009,1.8640799820423126,1.0937470327857046,4.5,"[16, 16]","[32, 32]","[1, 1]",0.8648648648648649
64,2,131072,4.1472320556640625,3.910919964313507,1.060423658245851,9.0,"[32, 32]","[64, 64]","[2, 2]",1.0
64,2,1008576,32.40407180786133,31.13865566253662,1.0406381110038463,69.25341796875,"[32, 32]","[64, 64]","[2, 2]",1.0
