batch_size,seqlen_q,seqlen_k,standard_ms,localized_ms,speedup,kv_gib_per_layout,owner_batch_counts,owner_tile_counts,owner_wave_counts,localized_theoretical_active_cluster_fraction
2,128,512,0.04715200141072273,0.04899200052022934,0.9624428663869962,0.0010986328125,"[1, 1]","[128, 128]","[4, 4]",1.0
4,128,512,0.07787199690937996,0.07972800359129906,0.976720768132696,0.002197265625,"[2, 2]","[256, 256]","[7, 7]",1.0
8,128,512,0.1536479964852333,0.15611200034618378,0.9842164352805265,0.00439453125,"[4, 4]","[512, 512]","[14, 14]",1.0
16,128,512,0.30532799661159515,0.31068800389766693,0.9827479425699448,0.0087890625,"[8, 8]","[1024, 1024]","[28, 28]",1.0
32,128,512,0.6093280017375946,0.6184319853782654,0.9852789249975447,0.017578125,"[16, 16]","[2048, 2048]","[56, 56]",1.0
64,128,512,1.2215360403060913,1.249343991279602,0.9777419580454945,0.03515625,"[32, 32]","[4096, 4096]","[111, 111]",1.0
2,128,1024,0.06972800195217133,0.071407999843359,0.9764732537688645,0.002197265625,"[1, 1]","[128, 128]","[4, 4]",1.0
4,128,1024,0.12692800164222717,0.12876799702644348,0.9857107711022448,0.00439453125,"[2, 2]","[256, 256]","[7, 7]",1.0
8,128,1024,0.25198400020599365,0.2558720111846924,0.984804860208441,0.0087890625,"[4, 4]","[512, 512]","[14, 14]",1.0
16,128,1024,0.5080399960279465,0.5160959959030151,0.9843905011102188,0.017578125,"[8, 8]","[1024, 1024]","[28, 28]",1.0
32,128,1024,1.0229360163211823,1.0352320075035095,0.9881224777700031,0.03515625,"[16, 16]","[2048, 2048]","[56, 56]",1.0
64,128,1024,2.061360001564026,2.061295986175537,1.000031055893437,0.0703125,"[32, 32]","[4096, 4096]","[111, 111]",1.0
2,128,2048,0.12092799693346024,0.12267200276255608,0.9857831796186491,0.00439453125,"[1, 1]","[128, 128]","[4, 4]",1.0
4,128,2048,0.22542399913072586,0.2261439934372902,0.9968162129994225,0.0087890625,"[2, 2]","[256, 256]","[7, 7]",1.0
8,128,2048,0.4536319971084595,0.45576000213623047,0.9953308648898617,0.017578125,"[4, 4]","[512, 512]","[14, 14]",1.0
16,128,2048,0.9073600172996521,0.9194720089435577,0.9868272317959718,0.03515625,"[8, 8]","[1024, 1024]","[28, 28]",1.0
32,128,2048,1.8687360286712646,1.8903200030326843,0.9885818409968725,0.0703125,"[16, 16]","[2048, 2048]","[56, 56]",1.0
64,128,2048,3.701327919960022,3.7150719165802,0.9963004762952665,0.140625,"[32, 32]","[4096, 4096]","[111, 111]",1.0
2,128,4096,0.22727999836206436,0.2252800017595291,1.0088778257586757,0.0087890625,"[1, 1]","[128, 128]","[4, 4]",1.0
4,128,4096,0.42295999825000763,0.4249279946088791,0.9953686356657134,0.017578125,"[2, 2]","[256, 256]","[7, 7]",1.0
8,128,4096,0.8520080000162125,0.8508640229701996,1.001344488678719,0.03515625,"[4, 4]","[512, 512]","[14, 14]",1.0
16,128,4096,1.7356159687042236,1.7519919872283936,0.9906529147144809,0.0703125,"[8, 8]","[1024, 1024]","[28, 28]",1.0
32,128,4096,3.509288012981415,3.4653199315071106,1.0126880294874194,0.140625,"[16, 16]","[2048, 2048]","[56, 56]",1.0
64,128,4096,7.06771183013916,7.059743881225586,1.0011286456063604,0.28125,"[32, 32]","[4096, 4096]","[111, 111]",1.0
2,128,8192,0.4362559914588928,0.4362400025129318,1.0000366517189365,0.017578125,"[1, 1]","[128, 128]","[4, 4]",1.0
4,128,8192,0.8110239803791046,0.8130079805850983,0.9975596792979008,0.03515625,"[2, 2]","[256, 256]","[7, 7]",1.0
8,128,8192,1.6641199886798859,1.6742240190505981,0.993964947190017,0.0703125,"[4, 4]","[512, 512]","[14, 14]",1.0
16,128,8192,3.3638240098953247,3.3137600421905518,1.0151079037309165,0.140625,"[8, 8]","[1024, 1024]","[28, 28]",1.0
32,128,8192,6.7128801345825195,6.737855911254883,0.9962932159723624,0.28125,"[16, 16]","[2048, 2048]","[56, 56]",1.0
64,128,8192,13.510160446166992,13.535216331481934,0.9981488374695081,0.5625,"[32, 32]","[4096, 4096]","[111, 111]",1.0
2,128,16384,0.8504640161991119,0.852975994348526,0.9970550423856505,0.03515625,"[1, 1]","[128, 128]","[4, 4]",1.0
4,128,16384,1.627672016620636,1.6338080167770386,0.9962443566848773,0.0703125,"[2, 2]","[256, 256]","[7, 7]",1.0
8,128,16384,3.23335200548172,3.236783981323242,0.9989396957407954,0.140625,"[4, 4]","[512, 512]","[14, 14]",1.0
16,128,16384,6.575648069381714,6.587296009063721,0.9982317570569199,0.28125,"[8, 8]","[1024, 1024]","[28, 28]",1.0
32,128,16384,13.142879962921143,13.156352043151855,0.9989760018440883,0.5625,"[16, 16]","[2048, 2048]","[56, 56]",1.0
64,128,16384,26.411727905273438,26.558960437774658,0.9944563894793181,1.125,"[32, 32]","[4096, 4096]","[111, 111]",1.0
2,128,32768,1.6864799857139587,1.6859359741210938,1.0003226763063457,0.0703125,"[1, 1]","[128, 128]","[4, 4]",1.0
4,128,32768,3.1887840032577515,3.194368004798889,0.9982519229053294,0.140625,"[2, 2]","[256, 256]","[7, 7]",1.0
8,128,32768,6.354031801223755,6.38263213634491,0.9955190375208537,0.28125,"[4, 4]","[512, 512]","[14, 14]",1.0
16,128,32768,12.788023948669434,12.974480152130127,0.9856290039158077,0.5625,"[8, 8]","[1024, 1024]","[28, 28]",1.0
32,128,32768,25.966399669647217,26.241639614105225,0.9895113282361342,1.125,"[16, 16]","[2048, 2048]","[56, 56]",1.0
64,128,32768,51.384840965270996,52.088271141052246,0.9864954209388828,2.25,"[32, 32]","[4096, 4096]","[111, 111]",1.0
2,128,65536,3.3213119506835938,3.3913919925689697,0.9793359063066341,0.140625,"[1, 1]","[128, 128]","[4, 4]",1.0
