workload,sq,group,mode,trial,replay_passes,lts__t_requests_srcunit_ltcfabric.sum,l2_hit_rate_usable,l2_counter_sum_relative_error,raw_csv,gpu__time_duration.avg,dram__bytes_read.sum,dram__bytes_write.sum,dram__bytes_read.sum.per_second,dram__bytes_write.sum.per_second,dram__throughput.avg.pct_of_peak_sustained_elapsed,lts__t_sector_hit_rate.pct,lts__t_sectors.sum,lts__t_sectors_lookup_hit.sum,lts__t_sectors_lookup_miss.sum
decode,1,ltc,standard,1,1,18933975.0,,,decode_sq1/ltc/standard_01.csv,,,,,,,,,,
decode,1,ltc,localized,1,1,353304.0,,,decode_sq1/ltc/localized_01.csv,,,,,,,,,,
decode,1,ltc,localized,2,1,353313.0,,,decode_sq1/ltc/localized_02.csv,,,,,,,,,,
decode,1,ltc,standard,2,1,18925190.0,,,decode_sq1/ltc/standard_02.csv,,,,,,,,,,
decode,1,ltc,standard,3,1,18924421.0,,,decode_sq1/ltc/standard_03.csv,,,,,,,,,,
decode,1,ltc,localized,3,1,353330.0,,,decode_sq1/ltc/localized_03.csv,,,,,,,,,,
decode,1,memory,standard,1,4,,True,-0.0027163876029815404,decode_sq1/memory/standard_01.csv,462464.0,2426120448.0,3453696.0,5246074176584.56,7468032106.28,68.48,37.07,182311611.0,67582637.0,114233745.0
decode,1,memory,localized,1,4,,True,-0.0002970963102383317,decode_sq1/memory/localized_01.csv,430784.0,2425986048.0,3902208.0,5631560243648.79,9058386569.6,73.53,46.96,143963417.0,67599322.0,76321324.0
decode,1,memory,localized,2,4,,True,6.5794271270736e-05,decode_sq1/memory/localized_02.csv,431744.0,2425966848.0,3688704.0,5618993774088.35,8543729617.55,73.35,46.97,143918305.0,67599245.0,76328529.0
decode,1,memory,standard,2,4,,True,-0.002338335242012546,decode_sq1/memory/standard_02.csv,460224.0,2426309120.0,3614976.0,5272017800027.81,7854818523.15,68.82,37.09,182261291.0,67596962.0,114238141.0
decode,1,memory,standard,3,4,,True,-0.002470569870984707,decode_sq1/memory/standard_03.csv,463840.0,2426646016.0,3813632.0,5231644567092.1,8221869610.21,68.31,37.07,182271712.0,67567995.0,114253402.0
decode,1,memory,localized,3,4,,True,-1.791962542851966e-05,decode_sq1/memory/localized_03.csv,430656.0,2425625088.0,3704064.0,5632395898350.42,8600980829.25,73.53,46.97,143920419.0,67598393.0,76319447.0
decode,4,ltc,standard,1,1,44315989.0,,,decode_sq4/ltc/standard_01.csv,,,,,,,,,,
decode,4,ltc,localized,1,1,1366063.0,,,decode_sq4/ltc/localized_01.csv,,,,,,,,,,
decode,4,ltc,localized,2,1,1366063.0,,,decode_sq4/ltc/localized_02.csv,,,,,,,,,,
decode,4,ltc,standard,2,1,44073434.0,,,decode_sq4/ltc/standard_02.csv,,,,,,,,,,
decode,4,ltc,standard,3,1,44183145.0,,,decode_sq4/ltc/standard_03.csv,,,,,,,,,,
decode,4,ltc,localized,3,1,1366052.0,,,decode_sq4/ltc/localized_03.csv,,,,,,,,,,
decode,4,memory,standard,1,4,,True,-0.005960730203312448,decode_sq4/memory/standard_01.csv,1765952.0,4468982272.0,33485056.0,2530636320806.0,18961475736.6,33.23,64.08,646889369.0,414544114.0,228489322.0
decode,4,memory,localized,1,4,,True,-0.002332513275489445,decode_sq4/memory/localized_01.csv,1638464.0,2772595200.0,32780544.0,1692191711261.28,20006874731.46,22.32,84.11,567420136.0,477282665.0,88813956.0
decode,4,memory,localized,2,4,,True,-0.0038257395166021446,decode_sq4/memory/localized_02.csv,1635136.0,2784633856.0,32909824.0,1702998316959.57,20126658577.64,22.46,83.75,562773809.0,471334078.0,89286705.0
decode,4,memory,standard,2,4,,True,0.0014796379694570483,decode_sq4/memory/standard_02.csv,1760640.0,4453879040.0,33416192.0,2529693202471.83,18979571065.07,33.22,64.66,643429690.0,416041677.0,228340056.0
decode,4,memory,standard,3,4,,True,-0.0036592040708923745,decode_sq4/memory/standard_03.csv,1768640.0,4556630784.0,33786624.0,2576347240817.8,19103166274.65,33.83,64.31,642926154.0,413439466.0,227134090.0
decode,4,memory,localized,3,4,,True,0.01122675304992704,decode_sq4/memory/localized_03.csv,1635424.0,2776563712.0,32647424.0,1697763828829.71,19962666562.31,22.39,85.27,560396846.0,477849918.0,88838365.0
prefill,128,ltc,standard,1,1,128976525.0,,,prefill_sq128/ltc/standard_01.csv,,,,,,,,,,
prefill,128,ltc,localized,1,1,43030278.0,,,prefill_sq128/ltc/localized_01.csv,,,,,,,,,,
prefill,128,ltc,localized,2,1,43034854.0,,,prefill_sq128/ltc/localized_02.csv,,,,,,,,,,
prefill,128,ltc,standard,2,1,128623443.0,,,prefill_sq128/ltc/standard_02.csv,,,,,,,,,,
prefill,128,ltc,standard,3,1,128253791.0,,,prefill_sq128/ltc/standard_03.csv,,,,,,,,,,
prefill,128,ltc,localized,3,1,43030716.0,,,prefill_sq128/ltc/localized_03.csv,,,,,,,,,,
prefill,128,memory,standard,1,4,,False,-0.12958263063534314,prefill_sq128/memory/standard_01.csv,44714752.0,7582977536.0,1064253696.0,169585588577.12,23800952669.94,2.52,84.28,16100956824.0,13570334394.0,444218089.0
prefill,128,memory,localized,1,4,,True,-0.009487811992808681,prefill_sq128/memory/localized_01.csv,45759296.0,6312354560.0,1060155136.0,137946933449.33,23168082306.16,2.1,97.62,17939511568.0,17512610540.0,256694315.0
prefill,128,memory,localized,2,4,,False,0.023055527120853903,prefill_sq128/memory/localized_02.csv,45473920.0,6282476800.0,1060746496.0,138155602156.14,23326480233.07,2.1,100.82,17467174222.0,17610803167.0,259085964.0
prefill,128,memory,standard,2,4,,False,0.2146328975712346,prefill_sq128/memory/standard_02.csv,45019648.0,7599379712.0,1062390272.0,168801402267.74,23598369138.74,2.51,118.02,11447699513.0,13510348499.0,394403931.0
prefill,128,memory,standard,3,4,,False,0.10313366675681968,prefill_sq128/memory/standard_03.csv,45486592.0,7597920256.0,1062128896.0,167036480904.09,23350373138.53,2.48,107.11,12569266727.0,13463164121.0,402417172.0
prefill,128,memory,localized,3,4,,False,0.015124454003608623,prefill_sq128/memory/localized_03.csv,45325472.0,6308503296.0,1060648192.0,139182296788.88,23400709252.4,2.12,100.02,17532251408.0,17535061385.0,262355753.0
